id,title,labels,fold
1518482,Clinically relevant optimization of 3-D conformal treatments.,"Aged	Algorithms	Humans	Male	Mathematics	Prostatic Neoplasms	Radiotherapy Dosage	Radiotherapy Planning, Computer-Assisted	Radiotherapy, High-Energy",10
21834993,Analysis of coronary angiography related psychophysiological responses.,Aged	Angiography	Coronary Angiography	Diazepam	Electrocardiography	Female	Galvanic Skin Response	Humans	Male	Middle Aged	Psychophysiology,2
6600627,The relative effectiveness of guanidinium and some biguanide salts as denaturants. Assessment against penicillinase.,Biguanides	Guanidine	Guanidines	Kinetics	Protein Denaturation	Staphylococcus aureus	Structure-Activity Relationship	Thermodynamics	beta-Lactamase Inhibitors,10
15008456,Furostanol oligoglycosides from Asparagus cochinchinensis.,"Asparagus Plant	Glycosides	Magnetic Resonance Spectroscopy	Spectrometry, Mass, Electrospray Ionization",10
18696255,The complete nucleotide sequence of the mitochondrial genome of Phthonandria atrilineata (Lepidoptera: Geometridae).,"Animals	Base Sequence	DNA, Mitochondrial	Genome, Insect	Genome, Mitochondrial	Lepidoptera	Molecular Sequence Data	Phylogeny	RNA, Ribosomal	RNA, Transfer	Sequence Analysis, DNA",10
1722628,[Clinical results and problems of anti-androgen therapy of benign prostatic hypertrophy].,"Administration, Oral	Aged	Allylestrenol	Androgen Antagonists	Chlormadinone Acetate	Humans	Injections, Intramuscular	Male	Nandrolone	Prostatic Hyperplasia",10
2926286,Osteochondrosis of the tibial tuberosity (Osgood-Schlatter's disease),Child	Chiropractic	Humans	Knee Joint	Male	Osteochondritis	Pain	Pain Management	Radiography,10
5808833,Automated chromatography for stepwise elution of complex lipids.,"Autoanalysis	Brain Chemistry	Chromatography	Chromatography, Gel	Chromatography, Thin Layer	Dextrans	Lipids	Methods",10
20368971,"SREB, a GATA transcription factor that directs disparate fates in Blastomyces dermatitidis including morphogenesis and siderophore biosynthesis.","Amino Acid Sequence	Base Sequence	Blastomyces	Blotting, Northern	Blotting, Southern	Fungi	GATA Transcription Factors	Gene Expression	Gene Expression Regulation, Fungal	Genes, Fungal	Molecular Sequence Data	Morphogenesis	Reverse Transcriptase Polymerase Chain Reaction	Siderophores	Temperature	Yeasts",8
1289798,DNA conformation of the region preceding the beta-lactamase promoter of pUC19 which is required for efficient transcription.,"Base Sequence	DNA, Bacterial	Escherichia coli	Molecular Sequence Data	Nucleic Acid Conformation	Promoter Regions, Genetic	Transcription, Genetic	beta-Lactamases",10
23608477,Biochemical and molecular characterization of the novobiocin and rifampicin resistant Aeromonas hydrophila vaccine strain AL09-71N+R compared to its virulent parent strain AL09-71.,"Aeromonas hydrophila	Animals	Catfishes	Cell Proliferation	DNA Gyrase	Drug Resistance, Microbial	Gene Expression Profiling	Gene Expression Regulation, Bacterial	Genome, Bacterial	Gram-Negative Bacterial Infections	Microbial Viability	Molecular Sequence Data	Mucus	Mutation	RNA Polymerase II	Vaccines, Attenuated",10
17573255,[Effect of pulseless ventricular tachycardia on sympathetic activity].,"Electrocardiography	Heart Conduction System	Heart Rate	Humans	Male	Middle Aged	Sympathetic Nervous System	Tachycardia, Ventricular",10
17382049,Emergency endovascular stent grafting for thoracic aortic pathology.,"Acute Disease	Adult	Aneurysm, Dissecting	Aneurysm, False	Angioplasty	Aorta, Thoracic	Aortic Aneurysm, Thoracic	Aortic Diseases	Aortic Rupture	Atherosclerosis	Cohort Studies	Emergencies	Female	Fistula	Hematoma	Humans	Male	Middle Aged	Postoperative Complications	Reoperation	Stents	Treatment Outcome",10
15504489,Air pollution and policy--1952-2002.,"Air Pollutants	Air Pollution	Environment	Europe	History, 20th Century	Humans	Policy Making	Vehicle Emissions",10
18256017,Comparison between gadolinium and iodine contrast for percutaneous intervention in atherosclerotic renal artery stenosis: clinical outcomes.,"Aged	Angiography, Digital Subtraction	Angioplasty, Balloon	Atherosclerosis	Contrast Media	Creatinine	Female	Follow-Up Studies	Gadolinium	Gadolinium DTPA	Heterocyclic Compounds	Humans	Incidence	Injections, Intravenous	Iohexol	Male	Minnesota	Organometallic Compounds	Renal Artery Obstruction	Renal Insufficiency	Retrospective Studies	Severity of Illness Index	Treatment Outcome	Triiodobenzoic Acids",10
9382138,Nondirectiveness in genetic counseling: a survey of practitioners.,Comprehension	Data Collection	Genetic Counseling	Genetic Privacy	Personal Autonomy	Professional-Family Relations	Social Values	Truth Disclosure,10
15385305,Peripheral anatomic evaluation using 3D CT hepatic venography in donors: significance of peripheral venous visualization in living-donor liver transplantation.,"Adult	Contrast Media	Female	Hepatic Veins	Humans	Imaging, Three-Dimensional	Liver	Liver Transplantation	Male	Middle Aged	Phlebography	Tomography, X-Ray Computed",10
12958270,"Comparison and evaluation of real-time PCR, real-time nucleic acid sequence-based amplification, conventional PCR, and serology for diagnosis of Mycoplasma pneumoniae.","Adult	Aged	Female	Humans	Male	Middle Aged	Mycoplasma pneumoniae	Nucleic Acid Amplification Techniques	Pneumonia, Mycoplasma	Polymerase Chain Reaction	Sensitivity and Specificity	Serologic Tests",10
19109703,Detecting expression patterns of Wnt pathway components in Nematostella vectensis embryos.,Animals	Anthozoa	Gene Expression Regulation	In Situ Hybridization	Signal Transduction	Wnt Proteins,10
25824284,Global analysis of fungal morphology exposes mechanisms of host cell escape.,"Animals	Candida albicans	Cell Death	Cell Line	Cell Wall	Cryptococcus neoformans	Hyphae	Immune Evasion	Macrophages	Mice	Microscopy, Interference	Morphogenesis	Phagosomes	Pyroptosis	Reverse Transcriptase Polymerase Chain Reaction	Saccharomyces cerevisiae",3
16091737,Exclusion of RUNX3 as a tumour-suppressor gene in early-onset gastric carcinomas.,"Adolescent	Adult	Aged	Aged, 80 and over	Carcinoma	Cell Line, Tumor	Core Binding Factor Alpha 3 Subunit	Genes, Tumor Suppressor	Humans	In Situ Hybridization, Fluorescence	Middle Aged	Neoplasm Proteins	Stomach Neoplasms	Tumor Suppressor Proteins",10
24527585,[Changes of bone mineral density and bone metabolic marker in patients with subclinical hypothyroidism].,"Absorptiometry, Photon	Biomarkers	Bone Density	Bone and Bones	Case-Control Studies	Female	Humans	Hypothyroidism	Postmenopause	Premenopause	Thyrotropin	Thyroxine	Triiodothyronine",10
24757796,Application of synbiotics in fermented sausage production.,Antibiosis	Bacterial Physiological Phenomena	Fermentation	Food Microbiology	Inulin	Meat Products	Synbiotics,10
14569174,99mTc-MAG3 diuretic renography in children: a comparison between F0 and F+20.,"Adolescent	Child	Child, Preschool	Diuretics	Female	Furosemide	Humans	Hydronephrosis	Image Interpretation, Computer-Assisted	Infant	Infant, Newborn	Male	Radioisotope Renography	Radiopharmaceuticals	Reproducibility of Results	Sensitivity and Specificity	Technetium Tc 99m Mertiatide",10
10899086,"Nitric oxide, an important regulator of perfusion-contraction matching in conscious pigs.",Animals	Coronary Circulation	Coronary Disease	Hemodynamics	Myocardial Contraction	Myocardial Ischemia	Myocardial Reperfusion	Myocardial Stunning	Necrosis	Nitric Oxide	Nitric Oxide Synthase	Nitroarginine	Swine,10
7292579,Filtration plasmapheresis in vivo.,Adult	Blood Proteins	Erythrocyte Aging	Erythrocyte Count	Female	Filtration	Hemoglobins	Humans	Leukocyte Count	Lymphocytes	Male	Middle Aged	Neutrophils	Plasmapheresis	Time Factors,10
3161728,"Evidence that treatment of platelets with phorbol ester causes proteolytic activation of Ca2+-activated, phospholipid-dependent protein kinase.","Blood Platelets	Centrifugation, Density Gradient	Chromatography, DEAE-Cellulose	Enzyme Activation	Humans	Peptide Hydrolases	Phorbols	Phosphorylation	Protein Kinase C	Protein Kinases	Tetradecanoylphorbol Acetate",10
11903162,Bullous lesions in Bazex syndrome and successful treatment with oral psoralen phototherapy.,"Acrodermatitis	Administration, Oral	Biopsy	Carcinoma, Squamous Cell	Ficusin	Head and Neck Neoplasms	Humans	Keratosis	Male	Middle Aged	PUVA Therapy	Paraneoplastic Syndromes	Photosensitizing Agents",10
18658210,Different types of cell-to-cell connections mediated by nanotubular structures.,"Animals	Biochemical Phenomena	Cattle	Cell Communication	Cell Line	Cell Surface Extensions	Epithelial Cells	Humans	Mice	Microscopy, Electron, Transmission	Microscopy, Fluorescence	Microscopy, Phase-Contrast	Models, Biological	Tomography, X-Ray Computed	Urinary Bladder",10
12869305,"Malignancy-associated regions of transcriptional activation: gene expression profiling identifies common chromosomal regions of a recurrent transcriptional activation in human prostate, breast, ovarian, and colon cancers.","Breast Neoplasms	Cell Line, Tumor	Colonic Neoplasms	Female	Gene Expression Profiling	Gene Expression Regulation, Neoplastic	Humans	Male	Neoplasms	Oligonucleotide Array Sequence Analysis	Ovarian Neoplasms	Prostatic Neoplasms	RNA, Messenger	Reverse Transcriptase Polymerase Chain Reaction	Transcriptional Activation",10
23954907,Optimal M-estimation in high-dimensional regression.,Algorithms	Computer Simulation	Likelihood Functions	Regression Analysis,10
20306266,Hormone profile in juvenile systemic lupus erythematosus with previous or current amenorrhea.,"Adolescent	Amenorrhea	Child	Child, Preschool	Estradiol	Female	Follicle Stimulating Hormone	Glucocorticoids	Hormones	Humans	Lupus Erythematosus, Systemic	Luteinizing Hormone	Menarche	Prednisone	Retrospective Studies	Testosterone	Young Adult",10
18411198,Megestrol acetate-induced adrenal insufficiency.,"Adrenal Insufficiency	Aged	Antineoplastic Agents, Hormonal	Breast Neoplasms	Carcinoma, Ductal, Breast	Female	Humans	Megestrol Acetate	Pericardial Effusion",10
12435267,Fgr but not Syk tyrosine kinase is a target for beta 2 integrin-induced c-Cbl-mediated ubiquitination in adherent human neutrophils.,"Antigens, CD18	Enzyme Precursors	Humans	Intracellular Signaling Peptides and Proteins	Neutrophils	Phosphorylation	Protein-Tyrosine Kinases	Proto-Oncogene Proteins	Proto-Oncogene Proteins c-cbl	Signal Transduction	Syk Kinase	Ubiquitin-Protein Ligases	Ubiquitins",10
16573192,Laboratory and field evaluation of instrumentation for the semicontinuous determination of particulate nitrate (and other water-soluble particulate components).,Aerosols	Air Pollutants	California	Dust	Environmental Monitoring	Nitrates	Particle Size	Pilot Projects	Reproducibility of Results,10
8283217,Periodic synchronized bursting and intracellular calcium transients elicited by low magnesium in cultured cortical neurons.,"Action Potentials	Animals	Calcium Channels	Cells, Cultured	Cerebral Cortex	Electric Stimulation	Electrodes	Electrophysiology	Extracellular Space	Female	Magnesium	Neural Conduction	Neurons	Pregnancy	Rats	Receptors, N-Methyl-D-Aspartate	Synapses",10
21419130,Effects of heavy metals on insect immunocompetent cells.,"Animals	Cadmium	Cell Size	Copper	Environmental Pollutants	Gene Expression	Granulocytes	Hemocytes	Houseflies	Insect Proteins	Lead	Metals, Heavy	Phagocytosis	Zinc",10
24169441,Factors affecting the use of anti-amoebiasis protective measures among Taiwan immigrants returning to amoebiasis-endemic regions.,"Adult	Aged	Aged, 80 and over	Amebiasis	Cross-Sectional Studies	Emigrants and Immigrants	Endemic Diseases	Female	Health Knowledge, Attitudes, Practice	Humans	Male	Middle Aged	Models, Psychological	Socioeconomic Factors	Surveys and Questionnaires	Taiwan	Travel	Young Adult",10
2470003,Immunostaining of involucrin in odontogenic epithelial tumors and cysts.,Cell Differentiation	Epithelium	Humans	Immunohistochemistry	Odontogenic Tumors	Protein Precursors	Radicular Cyst	Staining and Labeling,10
17503422,Exploration of backbone space in foldamers containing alpha- and beta-amino acid residues: developing protease-resistant oligomers that bind tightly to the BH3-recognition cleft of Bcl-xL.,"Amino Acids	Binding Sites	Binding, Competitive	Molecular Structure	Peptide Fragments	Peptide Hydrolases	Peptide Library	Protein Folding	Protein Structure, Secondary	Proto-Oncogene Proteins	Time Factors	bcl-X Protein",10
7654444,Cancer registration: a feasibility study in northern Italy. The Collaborative Group of Pathologists for Cancer Registration in Verona.,Feasibility Studies	Female	Humans	Italy	Male	Neoplasms	Pilot Projects	Registries,10
15209548,The prevalence and severity of cerebrovascular disease in patients undergoing cardiovascular surgery.,"Aged	Aged, 80 and over	Cardiovascular Diseases	Cardiovascular Surgical Procedures	Cerebrovascular Disorders	Female	Humans	Magnetic Resonance Angiography	Magnetic Resonance Imaging	Male	Mass Screening	Middle Aged	Preoperative Care	Prevalence	Severity of Illness Index	Treatment Outcome",10
8552302,Neurotoxic mechanisms of transactivating protein Tat of Maedi-Visna virus.,"Animals	Calcium	Cell Death	Cells, Cultured	Corpus Striatum	Dose-Response Relationship, Drug	Gene Products, tat	Immunohistochemistry	Nerve Degeneration	Neurons	Neurotoxins	Rats	Rats, Sprague-Dawley	Time Factors	Visna-maedi virus",10
6280019,[Effects of ionizing radiation on the content of total collagen and its fractions and the activity of collagenolytic enzymes in rat tissues].,Animals	Cathepsins	Collagen	Connective Tissue	Gamma Rays	Leukocytes	Male	Microbial Collagenase	Rats	Solubility,10
20095175,Early treatment with nebulised salbutamol worsens physiological measures and does not improve survival following phosgene induced acute lung injury.,Acute Lung Injury	Albuterol	Animals	Bronchoalveolar Lavage	Bronchodilator Agents	Chemical Warfare Agents	Female	Heart Rate	Nebulizers and Vaporizers	Neutrophils	Phosgene	Swine	Time Factors,10
19417470,The performance of in situ grown Schottky-barrier single wall carbon nanotube field-effect transistors.,"Crystallization	Equipment Design	Equipment Failure Analysis	Macromolecular Substances	Materials Testing	Molecular Conformation	Nanotechnology	Nanotubes, Carbon	Particle Size	Surface Properties	Transistors, Electronic",10
1416411,"Relation of dose-response slope to respiratory symptoms and lung function in a population study of adults living in Busselton, Western Australia.","Adult	Asthma	Bronchial Hyperreactivity	Bronchial Provocation Tests	Dose-Response Relationship, Drug	Female	Histamine	Humans	Male	Prevalence	Sampling Studies	Skin Tests	Western Australia",10
23232291,Patient preferences for hepatitis B therapy.,"Adult	Antiviral Agents	Choice Behavior	Cost of Illness	Drug Resistance, Viral	Female	Follow-Up Studies	Hepatitis B, Chronic	Humans	Male	Middle Aged	Patient Preference	Referral and Consultation	Surveys and Questionnaires	Treatment Outcome",10
7343534,An attempt to use the Tc-99m-thiodisuccinic acid (TDSA) complex in renoscintigraphy. I. Preparation of the complex.,Isotope Labeling	Organotechnetium Compounds	Radioisotope Renography	Succinates	Technetium,10
20364921,Stimulus-driven attentional capture by a static discontinuity between perceptual groups.,"Attention	Color Perception	Cues	Humans	Photic Stimulation	Reaction Time	Signal Detection, Psychological	Visual Perception",10
15236169,Loss of detoxification in inflammatory bowel disease: dysregulation of pregnane X receptor target genes.,"ATP-Binding Cassette Transporters	Adolescent	Adult	Biopsy	Cells, Cultured	Child	Cytokines	Gene Expression Profiling	Gene Expression Regulation	Humans	Inactivation, Metabolic	Inflammatory Bowel Diseases	Intestines	Middle Aged	Receptors, Cytoplasmic and Nuclear	Receptors, Steroid	Transcription Factors",10
22403834,Adaptation in chemoreceptor cells. II. The effects of cross-adapting backgrounds depend on spectral tuning.,"Adaptation, Physiological	Ammonium Chloride	Animals	Palinuridae	Sensory Receptor Cells",10
18024047,A simple capillary electrophoresis method for the rapid separation and determination of intact low molecular weight and unfractionated heparins.,"Anticoagulants	Chemistry Techniques, Analytical	Dalteparin	Electrophoresis, Capillary	Enoxaparin	Hydrogen Peroxide	Hydrogen-Ion Concentration	Reproducibility of Results	Technology, Pharmaceutical	Temperature",10
21288333,Microstructure and biomechanical characteristics of bone substitutes for trauma and orthopaedic surgery.,Biomechanical Phenomena	Bone Cements	Bone Substitutes	Bone and Bones	Humans	Materials Testing	Orthopedic Procedures	Radiography	Wounds and Injuries,0
16344320,Phase II study of fixed dose rate gemcitabine with cisplatin for metastatic adenocarcinoma of the pancreas.,"Adenocarcinoma	Adult	Aged	Antimetabolites, Antineoplastic	Antineoplastic Combined Chemotherapy Protocols	CA-19-9 Antigen	Cisplatin	Deoxycytidine	Disease Progression	Disease-Free Survival	Drug Administration Schedule	Female	Follow-Up Studies	Humans	Male	Middle Aged	Pancreatic Neoplasms	Research Design	Survival Analysis	Tomography, X-Ray Computed	Treatment Outcome",10
21093001,Effects of hyperimmune equine plasma on clinical and cellular responses in a low-dose endotoxaemia model in horses.,"Animals	Cross-Over Studies	Endotoxemia	Endotoxins	Enzyme-Linked Immunosorbent Assay	Escherichia coli Infections	Female	Horse Diseases	Horses	Immunization, Passive	Leukocyte Count	Leukocytes	Plasma	Tumor Necrosis Factor-alpha",10
18050046,[Wegener's granulomatosis in pediatric patients].,"Adolescent	Adrenal Cortex Hormones	Age Factors	Antibodies, Antineutrophil Cytoplasmic	Child	Child, Preschool	Cyclophosphamide	Diagnosis, Differential	Female	Granulomatosis with Polyangiitis	Humans	Immunosuppressive Agents	Infant	Infant, Newborn	Magnetic Resonance Imaging	Male	Methotrexate	Prognosis	Radiography, Thoracic	Recurrence	Tomography, X-Ray Computed",10
21239384,Chronic kidney disease is prevalent in Chinese patients admitted with verified cerebrovascular lesions and predicts short-term prognosis.,"Adolescent	Adult	Aged	Aged, 80 and over	Cerebrovascular Disorders	China	Cross-Sectional Studies	Disease Progression	Female	Follow-Up Studies	Glomerular Filtration Rate	Humans	Kidney Failure, Chronic	Kidney Function Tests	Male	Middle Aged	Prevalence	Prognosis	Risk Factors	Young Adult",10
7780474,Intravenous methylprednisolone for exacerbations in multiple sclerosis.,"Humans	Infusions, Intravenous	Methylprednisolone	Multiple Sclerosis	Remission Induction",10
11718511,Trends in spatial disorientation research.,Adolescent	Adult	Humans	Male	Orientation	Research	Space Perception,10
8436676,Effect of undegradable protein amount fed prepartum on postpartum production in first lactation Holstein cows.,"Animal Feed	Animals	Cattle	Dietary Proteins	Female	Lactation	Pregnancy	Pregnancy, Animal",10
15198567,Preparation and stability of poly(ethylene glycol) (PEG)ylated octreotide for application to microsphere delivery.,"Antineoplastic Agents, Hormonal	Chemistry, Pharmaceutical	Drug Delivery Systems	Drug Stability	Microspheres	Octreotide	Peptides	Polyethylene Glycols",10
15911746,Role of the actin cytoskeleton in G-protein-coupled receptor activation of PYK2 and paxillin in vascular smooth muscle.,"Actins	Animals	Biological Transport	Cytochalasin D	Cytoskeleton	Endothelins	Enzyme Activation	In Vitro Techniques	Membranes	Mesenteric Arteries	Muscle, Smooth, Vascular	Myosin Light Chains	Norepinephrine	Nucleic Acid Synthesis Inhibitors	Phosphorylation	Rats	Rats, Sprague-Dawley	Receptors, G-Protein-Coupled	Tissue Distribution	Tyrosine	Vasoconstriction",10
2177094,The putative nucleocapsid and envelope protein genes of hepatitis C virus determined by comparison of the nucleotide sequences of two isolates derived from an experimentally infected chimpanzee and healthy human carriers.,"Amino Acid Sequence	Animals	Base Sequence	Capsid	Carrier State	Cloning, Molecular	DNA, Viral	Genes, Viral	Hepacivirus	Hepatitis C	Humans	Molecular Sequence Data	Pan troglodytes	Polymerase Chain Reaction	Protein Conformation	Viral Core Proteins	Viral Nonstructural Proteins	Viral Proteins	Viral Structural Proteins",10
25299766,A robust approach to correct for pronounced errors in temperature measurements by controlling radiation damping feedback fields in solution NMR.,Algorithms	Artifacts	Ethylene Glycol	Feedback	Magnetic Fields	Magnetic Resonance Spectroscopy	Methanol	Reproducibility of Results	Sensitivity and Specificity	Temperature	Thermography,10
7780907,Monitoring clinical research: an obligation unfulfilled.,"Canada	Clinical Protocols	Guidelines as Topic	Informed Consent	Peer Review, Research	Professional Staff Committees	Research	Research Support as Topic",10
17455768,"SureSmile--CAD/CAM system for orthodontic treatment planning, simulation and fabrication of customized archwires.","Computer-Aided Design	Humans	Imaging, Three-Dimensional	Orthodontic Appliance Design	Orthodontics, Corrective	Patient Care Planning	Photography, Dental",10
7515558,Correlation of intratumoral endothelial cell proliferation with microvessel density (tumor angiogenesis) and tumor cell proliferation in breast carcinoma.,"Antigens, CD	Antigens, CD34	Breast Neoplasms	Carcinoma, Ductal, Breast	Carcinoma, Lobular	Cell Division	Endothelium, Vascular	Humans	Immune Sera	Immunohistochemistry	Ki-67 Antigen	Microcirculation	Mitosis	Neoplasm Proteins	Neovascularization, Pathologic	Nuclear Proteins",10
7942579,Human subcutaneous adipose tissue shows site-specific differences in fatty acid composition.,Abdomen	Adipose Tissue	Adult	Analysis of Variance	Fatty Acids	Female	Humans	Lipectomy	Middle Aged	Thigh,10
11344770,Influenza vaccination among healthcare workers.,"Adult	Attitude to Health	Data Collection	Female	Health Personnel	Humans	Influenza Vaccines	Influenza, Human	Israel	Logistic Models	Male	Middle Aged	Probability	Risk Assessment	Surveys and Questionnaires	Vaccination",10
17994187,"Very low frequency EEG oscillations and the resting brain in young adults: a preliminary study of localisation, stability and association with symptoms of inattention.",Adolescent	Adult	Attention Deficit Disorder with Hyperactivity	Brain	Brain Mapping	Electroencephalography	Female	Humans	Male	Rest,10
180723,"[The so-called amaurotic idiocies. Clinical, morphological and biochemical findings as a basis for modern classification].","Adolescent	Age Factors	Cerebellum	Cerebral Cortex	Child, Preschool	Female	Gangliosidoses	Genetic Counseling	Humans	Inclusion Bodies	Infant	Lipidoses	Liver	Male	Medulla Oblongata	Middle Aged	Retina	Terminology as Topic",10
1176897,Enduring visual memory despite forced verbal rehearsal.,Adult	Humans	Memory	Practice (Psychology)	Verbal Learning	Visual Perception,10
16451689,Haplotype-sharing analysis for alcohol dependence based on quantitative traits and the Mantel statistic.,"Alcoholism	Chromosomes, Human	Haplotypes	Humans	Models, Statistical	Quantitative Trait, Heritable",2
2556120,"Characterization of a Mr 25,000 basic fibroblast growth factor form in adult, regenerating, and fetal rat liver.","Aging	Animals	Cattle	Cell Line	Chromatography, Affinity	Endothelium, Vascular	Fetus	Fibroblast Growth Factors	Immune Sera	Kinetics	Liver	Liver Regeneration	Male	Molecular Weight	Plasminogen Activators	Rats	Rats, Inbred Strains	Receptors, Cell Surface	Receptors, Fibroblast Growth Factor	Recombinant Proteins	Reference Values",10
3748672,Forensic evaluation of the sexually abused child.,"Adolescent	Anal Canal	Child	Child Abuse	Child, Preschool	Coitus	Female	Forensic Medicine	Genitalia, Female	Genitalia, Male	Homicide	Humans	Hymen	Incest	Infant	Male	Medical History Taking	Mouth	Physical Examination	Sex Offenses	Specimen Handling	Surveys and Questionnaires",10
1829917,Phase II clinical trial of doxifluridine in patients with advanced ovarian cancer.,Adult	Aged	Antineoplastic Agents	Drug Evaluation	Female	Floxuridine	Humans	Kidney	Middle Aged	Ovarian Neoplasms,10
20494607,"Lingual protrusion dystonia: frequency, etiology and botulinum toxin therapy.","Adolescent	Adult	Aged, 80 and over	Botulinum Toxins, Type A	Child	Dystonia	Female	Humans	Male	Middle Aged	Neuromuscular Agents	Retrospective Studies	Tongue	Young Adult",10
17959955,The differential effects of intravenous anesthetics on myofilament Ca2+ sensitivity in pulmonary venous smooth muscle.,"Actin Cytoskeleton	Anesthetics, Intravenous	Animals	Calcium	Cells, Cultured	Dogs	Dose-Response Relationship, Drug	Muscle, Smooth, Vascular	Protein Kinase C	Pulmonary Veins	Signal Transduction	Vasoconstriction	Vasodilation",10
12587612,Gender and age differences in lifestyle factors related to hypertension in middle-aged civil service employees.,Adult	Age Factors	Body Mass Index	Chi-Square Distribution	Female	Humans	Hypertension	Japan	Life Style	Male	Middle Aged	Sex Factors	Surveys and Questionnaires,10
15017622,Assessing quality of life in primary biliary cirrhosis.,"Clinical Trials as Topic	Health Status Indicators	Humans	Liver Cirrhosis, Biliary	Quality of Life	Reproducibility of Results	Surveys and Questionnaires",10
25880227,Optimising motor learning in infants at high risk of cerebral palsy: a pilot study.,Cerebral Palsy	Early Intervention (Education)	Environment	Feasibility Studies	Female	Goals	Humans	Infant	Learning	Male	Motor Skills	Parents	Pilot Projects	Play and Playthings	Risk Factors,5
9108323,"Primary structure and synthesis of Imperatoxin A (IpTx(a)), a peptide activator of Ca2+ release channels/ryanodine receptors.","Amino Acid Sequence	Animals	Calcium	Calcium Channels	Chromatography, High Pressure Liquid	Ion Channel Gating	Molecular Sequence Data	Muscle Proteins	Protein Binding	Rabbits	Ryanodine Receptor Calcium Release Channel	Sarcoplasmic Reticulum	Scorpion Venoms	Sequence Alignment	Sequence Homology, Amino Acid",10
207741,"Very low density lipoprotein. Metabolism of phospholipids, cholesterol, and apolipoprotein C in the isolated perfused rat heart.","Animals	Apolipoproteins	Cholesterol	Hydrolysis	In Vitro Techniques	Lipoproteins, VLDL	Male	Myocardium	Perfusion	Phospholipids	Rats	Triglycerides",10
